cProfile Report - Quantum Level: classical
Configuration: wave_size=3072, simulations=5000
Performance: 298,919 sims/s
================================================================================
         13538 function calls (10494 primitive calls) in 0.015 seconds

   Ordered by: cumulative time
   List reduced from 200 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.015    0.015 /home/cosmosapjw/omoknuni_quantum/python/mcts/core/mcts.py:421(search)
        2    0.000    0.000    0.014    0.007 /home/cosmosapjw/omoknuni_quantum/python/mcts/core/mcts.py:637(_run_search_wave_vectorized)
        8    0.001    0.000    0.014    0.002 /home/cosmosapjw/omoknuni_quantum/python/benchmark_mcts_profiler.py:394(_profile_phase)
        1    0.000    0.000    0.007    0.007 /home/cosmosapjw/omoknuni_quantum/python/mcts/core/mcts.py:461(_search_optimized)
        2    0.000    0.000    0.007    0.004 /home/cosmosapjw/omoknuni_quantum/python/benchmark_mcts_profiler.py:369(instrumented_select)
       19    0.000    0.000    0.004    0.000 /home/cosmosapjw/venv/lib/python3.12/site-packages/torch/cuda/memory.py:225(memory_stats)
        2    0.000    0.000    0.003    0.002 /home/cosmosapjw/omoknuni_quantum/python/benchmark_mcts_profiler.py:375(instrumented_evaluate)
       17    0.000    0.000    0.003    0.000 /home/cosmosapjw/venv/lib/python3.12/site-packages/torch/cuda/memory.py:523(memory_allocated)
        2    0.001    0.000    0.003    0.001 /home/cosmosapjw/omoknuni_quantum/python/mcts/core/mcts.py:661(_select_batch_vectorized)
  3059/19    0.002    0.000    0.003    0.000 /home/cosmosapjw/venv/lib/python3.12/site-packages/torch/cuda/memory.py:314(_recurse_add_to_result)
        2    0.000    0.000    0.002    0.001 /home/cosmosapjw/omoknuni_quantum/python/mcts/core/mcts.py:1029(_evaluate_batch_vectorized)
        2    0.000    0.000    0.002    0.001 /home/cosmosapjw/omoknuni_quantum/python/benchmark_mcts_profiler.py:378(instrumented_backup)
        2    0.001    0.001    0.002    0.001 /home/cosmosapjw/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:391(get_nn_features)
        2    0.001    0.000    0.001    0.001 /home/cosmosapjw/omoknuni_quantum/python/mcts/core/mcts.py:1098(_backup_batch_vectorized)
        2    0.000    0.000    0.001    0.001 /home/cosmosapjw/omoknuni_quantum/python/benchmark_mcts_profiler.py:372(instrumented_expand)
        4    0.000    0.000    0.001    0.000 /home/cosmosapjw/omoknuni_quantum/python/mcts/gpu/csr_tree.py:964(batch_select_ucb_optimized)
        4    0.001    0.000    0.001    0.000 /home/cosmosapjw/omoknuni_quantum/python/mcts/gpu/unified_kernels.py:208(batch_ucb_selection)
        4    0.001    0.000    0.001    0.000 /home/cosmosapjw/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1162(batch_action_to_child)
